Date,Time,Operator,Flight #,Type,Registration,cn/In,Aboard,Fatalities,Cost
05/14/2006,12:32,Passenger,,Convair CV-580,C-GSKJ,202,3,1,36
05/23/2006,18:22,Military,,de Havilland Canada DHC-6 Twin Otter 300,S9-BAL,648,4,4,107
06/02/2006,14:40,Military,,Learjet 35A,N182K,35A-293,5,2,96
06/03/2006,16:00,Military,,KJ-2000,,,40,40,290
06/08/2006,13:15,Military,,Cessna TU206G,N5136X,U20605582,2,2,100
06/11/2006,18:30,Military,,Lockheed C-130 Hercules,TT-PAF,5141,7,5,100
06/21/2006,11:30,Passenger,,de Havilland Canada DHC-6 Twin Otter 300,9N-AEQ,708,9,9,18
06/30/2006,19:00,Passenger,,Cessna 208B Grand Caravan,ZS-POG,208B-0396,3,1,45
07/02/2006,11:00,Passenger,,de Havilland DHC-2 Beaver,D-FVIP,1512,6,5,13
07/07/2006,15:35,Passenger,,Antonov AN-12B,9Q-CVT,3341506,5,5,24
07/09/2006,07:44,Passenger,778,Airbus A-310-324ET,F-OGYP,442,203,128,162
07/10/2006,12:05,Passenger,688,Fokker F-27 Friendship 200,AP-BAL,10243,45,45,99
08/03/2006,,Military,,Antonov AN-28,9Q-COM,1AJ008-21,17,17,188
11/18/2006,21:00,Military,,Boeing 727-23F,HK-3667X,19430/366,5,5,123
08/04/2006,09:30,Military,59,Embraer 110 Bandeirante,N59BA,110-396,1,1,93
08/13/2006,20:15,Passenger,2208,Lockheed L-100-30 Hercules,7T-VHG,4880,3,3,13
08/22/2006,15:30,Passenger,612,Tupolev Tu-154M,RA-851857,894,170,170,251
08/27/2006,06:07,Passenger,5191,Canadair CRJ-200ER,N431CA,7472,50,49,73
09/01/2006,13:45,Passenger,,Tupolev Tu-154M,EP-MCF,88A788,148,29,44
09/02/2006,16:30,Military,,British Aerospace Nimrod MR-2,XV-230,8005,14,14,136
09/11/2006,17:30,Military,,Mi-8 helicopter,,,15,12,130
09/17/2006,10:15,Military,,Dornier 228,NAF033,8229,18,13,118
09/29/2006,15:59,Passenger,1907,Boeing B-737-8EH /EMB-135JB,PR-GTD / N600XL,34653/2039 /14500965,161,154,193
10/10/2006,07:35,Military,670,BAe 146-200,OY-CRG,2075/75,16,4,55
10/19/2006,07:30,Military,,Antonov An-2,UK-70152,1G137-26,15,15,244
10/29/2006,11:30,Passenger,53,Boeing 737-2B7,5N-BFK,22891/998,105,96,78
11/27/2006,07:20,Military,,Antonov 74T-200,15-2255,470991045/2010,38,38,228
12/10/2006,02:00,Passenger,,Bell 412,N410MA,33125,3,3,8
12/14/2006,18:32,Passenger,,Piper PA-32-301 Cherokee,N8361Q,32-8106055,2,2,21
12/16/2006,03:54,Passenger,,Cessna 310R,5H-TZA,310R-1333,6,3,14
01/01/2007,14:07,Passenger,574,Boeing B-737-4Q8,PK-KKW,24070,102,102,178
01/05/2007,12:02,Military,,Piper PA-31-310,5H-MUX,31-627,10,1,11
01/09/2007,12:00,Military,,Antonov 26B-100,ER-26068,11308,35,34,339
01/10/2007,23:15,Military,,Learjet 24F,N444TW,348,2,2,168
01/12/2007,11:00,Passenger,,Cessna Citation 525,N77215,525-0149,2,2,12
01/20/2007,,Passenger,,Sikorsky UH-60L Black Hawk,,,12,12,12
01/25/2007,11:15,Military,7775,Fokker 100,F-GMPG ,11362,54,54,288
02/06/2007,19:20,Military,,Beechcraft Super King Air B200,VQ-TIU,BL-131,6,1,32
02/07/2007,04:01,Military,,Beechcraft Super King Air B200,N45MF,BB-234,3,3,166
03/07/2007,07:14,Passenger,200,Boeing B-737-497,PK-GZC,25664/2393,140,22,39
03/08/2007,15:00,Military,,Aerospatiale AS350BA Rotocraft,N354NT,1168,7,4,287
03/11/2007,23:20,Military,,MDonnell Douglas 369FF Rotocraft,N911VC,0049FF,5,1,61
03/14/2007,,Passenger,,Rockwell 500S Shrike Commander,PP-SEC,,4,4,11
03/17/2007,11:40,Passenger,471,Tupelov 134AK,RA-65021,48390,57,6,18
03/23/2007,17:00,Passenger,,Ilushin Il-76TD,EW-78849,1013405192,11,11,19
04/25/2007,14:05,Military,,Pilatus Britten Norman BN-2A-27 Islander,8R-GET,484,5,3,213
04/27/2007,11:34,Military,,Mi 8,,,18,18,172
05/05/2007,,Passenger,507,Boeing B-737-8AL,5Y-KYA,35071/2079,114,114,98
05/06/2007,09:10,Military,,de Havilland Canada DHC-6 Twin Otter,742/CB,742,9,9,116
05/17/2007,11:00,Military,,Let 410UVP,TN-AHE,851335,3,3,21
05/24/2007,17:45,Passenger,,de Havilland Canada DHC-6 Twin Otter 300,FAP-303,483,20,13,31
06/03/2007,20:30,Passenger,,Mi-8,,,22,21,21
06/04/2007,16:04,Military,,Cessna 550 Citation II,N550BP,550-0246,6,6,172
06/13/2007,,Passenger,,Mi-8,,,22,15,32
06/16/2007,,Military,,Cessna 206,,,6,6,216
06/21/2007,,Military,,Let 410UVP,9Q-CEU,841217,25,1,111
06/25/2007,10:40,Passenger,241,Antonov AN-24V,XU-U4A,99901908,22,22,47
06/28/2007,13:40,Passenger,,Boeing 737-2M2,D2-TBP,23220/1084,78,5,44
07/05/2007,9:30,Military,,North American CT-39A Sabreline,XA-TFL,265-48,3,3,73
07/05/2007,14:45,Military,,Cessna 208B Grand Caravan,N208EC,208B-1153,9,2,75
07/08/2007,13:00,Military,,de Havilland DHC-6 Twim Otter 100,C-FAWC,108,5,1,71
07/17/2007,18:52,Passenger,3054,Airbus A-320-233,PR-MBK,789,187,187,142
07/23/2007,13:00,Passenger,,Antonov AN-26V,EX-030,7306103,9,1,4
07/24/2007,14:05,Passenger,,de Havilland DHC-2 MK.1 Beaver,N995WA,1100,5,5,7
07/29/2007,04:22,Passenger,9655,Antonov AN-12BP,RA-93912,4341709,9,9,10
08/05/2007,22:30,Passenger,,Beechcraft King Air E-90,N369CD,LW-182,5,5,10
08/09/2007,12:00,Passenger,1121,de Havilland Canada DHC-6 Twin Otter 300,F-OIQ,608,20,20,37
08/16/2007,23:16,Military,,de Havilland Canada DHC-2 Beaver,N345KA,1306,10,6,133
08/22/2007,,Military,,UH-60 Blackhawk helilcopter,,,14,14,117
08/22/2007,00:36,Military,,Embraer EMB-110P1 Bandeirant,PT-SDB,110323,2,2,21
08/26/2007,16:00,Passenger,,Antonov AN-32,9Q-CAC,14-07,15,14,19
09/07/2007,12:00,Passenger,,Antonov AN-12BP,4L-SAS,3341108,8,8,25
01/12/2008,12:00,Military,,Mi-17 Helicopter,,,11,11,221
09/16/2007,15:35,Passenger,269,McDonnell Douglas MD-82,HS-OMG,49183/1129,130,90,77
09/24/2007,,Military,,Let 410,9Q-CVL,,6,1,33
10/04/2007,10:40,Passenger,,Antonov AN-26,9Q-COS,47302001,22,21,13
10/04/2007,22:20,Passenger,,Beechcraft King Air C90A,N590GM,LJ-1594,3,3,21
10/07/2007,20:00,Military,,Cessna 208 Caravan,N430A,208B0415,10,10,166
10/08/2007,15:30,Military,,Let 410 UVP-E10A,HK-4055,902521,18,18,152
11/04/2007,14:10,Military,,Learjet 35A,PT-OVC,35A-339,2,2,102
11/08/2007,08:00,Military,,Antonov 12,ST-JUA,3341110,4,4,77
11/30/2007,01:36,Passenger,4203,McDonnell Douglas MD-83,TC-AKM,53185/2090,57,57,45
12/03/2007,17:18,Military,,Eurocopter Deutschland BK117C1,N141LG,,4,4,79
12/05/2007,06:48,Military,,Cessna 208B Caravan I Super Cargomaster,N28MG,208B-0732,2,2,121
12/09/2007,17:00,Military,,Beechcraft King Air C90B,D-IBDH,LJ-1307,5,5,134
01/04/2008,09:48,Passenger,,Let 410 UVP-E3,YV2081,872051,18,18,21
01/05/2008,13:43,Passenger,,Piper PA-31-350 Navajo,N509FN,31-7952162,10,6,10
01/14/2008,05:08,Military,,Beechcraft 1900C-1,N410UB,UC-70,1,1,122
01/17/2008,12:43,Passenger,,Boeing 777-236ER,G-YMMM,30314/342,152,52,37
01/19/2008,08:00,Passenger,,Beechcraft King Air B200,D2-FFK,BB-1026,13,13,31
01/23/2008,19:00,Passenger,,CASA C-295M,19,S-043,20,20,341
01/26/2008,09:35,Military,,CASA NC-212-200,PK-VSE ,92N/412,3,3,203
02/21/2008,17:00,Passenger,518,ATR-42-300,YV-1449,28,46,46,76
02/26/2008,16:16,Military,,Eurocopter  AS332L2 Super Puma,PP-MUM,2570,20,5,205
03/03/2008,16:00,Military,,Mi-17,,,10,10,190
03/15/2008,08:15,Passenger,,Beechcraft 1900D,5N-JAH,UE-322,3,3,11
04/03/2008,11:00,Passenger,,Antonov An-28,PZ-TSO,1AJ007-17,19,19,26
04/09/2008,23:27,Military,,Swearingen SA227AC Metroliner III,VH-OZA,AC-600,1,1,35
04/11/2008,22:15,Passenger,,Antonov An-32,ST-AZL,3009,8,8,32
04/15/2008,14:30,Passenger,,McDonnell Douglas DC-9-51,9Q-CHN,47731,85,85,150
04/16/2008,14:23,Military,,Antonov An-32B,3C-5GE,1609,13,13,214
04/28/2008,09:38,Military,,Mil Mi-8T,UR-24275,98734295,20,20,214
05/02/2008,10:10,Passenger,,Beechcraft 1900C,5Y-FLX,UC-65,24,24,50
05/17/2008,16:30,Military,,de Havilland Canada DHC-2 Mark I Beaver,N5998Q,1151,5,2,73
05/23/2008,01:25,Military,5008,Beechcraft 1900C,N195GA,U-65,1,1,49
05/24/2008,09:30,Military,,Eurocopter AS350D Astar,N67GE,1604,6,4,31
05/26/2008,18:15,Passenger,,Antonov An-12,RA-12957,8345508,9,9,5
05/29/2008,14:13,Passenger,,Bell UN-1N Huey,SAN-100,,12,11,29
05/30/2008,09:40,Passenger,390,Airbus A-320-233,EI-TAF,1374,136,3,14
06/07/2008,14:00,Military,,Cessna 208 Grand Caravan,CC-CTR,208B-1137,10,10,167
06/08/2008,07:45,Military,,Bell 407,N416PH,53276,4,4,200
06/10/2008,20:45,Passenger,548,Airbus A-310-324,ST-ATN,548,214,32,111
06/18/2008,10:03,Military,,de Havilland Canada DHC-6 Twin Otter 100,N656WA,47,1,1,64
06/20/2008,,Military,,Bell UH-1N,,,10,10,101
06/26/2008,15:03,Military,,CASA NC-212,A-2106,228/N68,18,18,118
06/27/2008,07:05,Military,,Antonov 12BK,ST-ARN,8346010,8,7,112
06/29/2008,15:48,Passenger,,Bell 407 / Bell 407,N407GA / N407MJ,53104 / 53079,7,6,14
06/30/2008,07:00,Military,,Ilysushin Il-76TD,ST-WTB,1003499994,4,4,44
07/06/2008,02:15,Military,199,Douglas DC9-15F,N199US,47153/185,2,1,97
07/07/2008,03:50,Passenger,,Boeing B-747-209BSF,N714CK,22446/519,8,7,21
07/10/2008,10:30,Passenger,,Beechcraft 99A,CC-CFM,U-145,9,9,13
07/31/2008,09:53,Military,81,British Aerospace BAe-125-800A,N818MV,258186,8,8,211
08/03/2008,07:00,Military,,Grumman G-21A Goose,C-GPCD,B-76,7,5,111
08/05/2008,19:30,Passenger,,Sikorsky S-61N,N612AZ,61297,13,9,16
08/06/2008,11:40,Passenger,,Bell Huey UH-1H,,,10,10,26
08/13/2008,07:30,Military,,Fokker F-27 Friendship 500,5Y-BVF,10627,3,3,231
08/20/2008,14:45,Passenger,5022,McDonnell Douglas MD-82,EC-HFP ,53148/2072,172,154,146
08/24/2008,09:40,Military,,Cessna 208B Grand Caravan,TG-JCS ,208-00327,14,11,231
08/24/2008,20:30,Passenger,6895,Boeing B-737-219,EX-009,22088,90,68,94
08/30/2008,21:50,Military,,Boeing B-737-291,YV-102T,21545/525,3,3,121
09/01/2008,16:00,Passenger,,Beechcraft 1900C-1,ZS-OLD,UC-137,17,17,34
09/01/2008,12:10,Military,,Convair CV-580,N587X,361,3,3,203
09/03/2008,20:20,Military,,Bell 212,A6-AVL,,7,7,153
09/14/2008,03:15,Passenger,821,Boeing B-737-505,VP-BKO,25792/2353,88,88,108
09/19/2008,23:53,Passenger,,Learjet 60,N999LJ,314,6,4,13
09/27/2008,03:57,Passenger,,Aerospatiale SA365N-1 Dauphin II,N92MD,6311,5,4,13
10/08/2008,07:31,Military,,de Havilland Canada DHC-6 Twin Otter 300,9N-AFE,720,19,18,241
10/15/2008,23:58,Military,,Bell 222,N992AA,47062,4,4,211
11/04/2008,18:40,Military,,Learjet 45,XC-VMC,45-028,8,8,163
11/08/2008,11:00,Military,,Cessna 206,5Y-AOO,206-01710,5,4,149
11/13/2008,11:35,Passenger,,Antonov An-12,S9-SAO,346908,7,7,18
11/16/2008,10:32,Passenger,,Grumman G-21A Goose,C-FPCK,1187,8,7,18
11/27/2008,17:00,Passenger,,Airbus A320-232,D-AXLA,2500,7,7,18
12/03/2008,12:13,Military,,Rockwell International 690B,N318WA,11444,3,3,219
12/11/2008,06:25,Military,,Bell 206-L4 Jet Ranger III,N180AL,52104,3,3,209
12/15/2008,16:40,Passenger,,Britten Norman BN-2A Trislander Mk3,N650LP,1029,12,12,21
01/04/2009,15:30,Military,,Sikorsky S-76C,N748P,760629,9,8,150
01/15/2009,15:06,Passenger,1549,Airbus A320-214,N106US,1044,155,125,133
02/07/2009,14:00,Passenger,,Bandeirante EMB-110P1,PT-SEA,110352,28,24,21
02/07/2009,06:30,Military,,Cessna 650 Citation III,I-FEEV,650-0105,2,2,157
02/12/2009,22:17,Passenger,3407,Bombardier DHC-8-402 Q400,N200WQ,4200,49,49,94
02/15/2009,16:05,Military,,Bell UH-1H,,,13,13,227
02/20/2009,04:10,Passenger,,Antonov 12V,S9-SVN,6344310,5,5,16
02/25/2009,10:31,Passenger,1951,Boeing 737-8F2,TC-JGE,29789/1065,134,9,40
03/09/2009,05:40,Military,,Ilyushin Il-76T,S9-SAB,73410301,11,11,322
03/12/2009,09:48,Passenger,,Sikorsky S-92A,C-GZCH,920048,18,17,29
03/22/2009,14:28,Passenger,,Pilatus PC-12/45,N128CM,403,14,14,23
03/23/2009,06:48,Military,80,McDonnell Douglas MD-11,N526FE,48600/560,2,2,11
04/01/2009,14:00,Passenger,,Eurocopter AS 332L2 Super Puma 2,,,16,16,31
04/06/2009,12:30,Passenger,,Fokker F-27 Friendship 400M,A-2703,10538,24,24,19
04/09/2009,07:00,Military,,British Aerospace BAe-146-300,PK-BRD,E3189,6,6,257
04/17/2009,10:30,Military,514,Pilatus PC-6,PK-LTJ,959,11,11,322
04/17/2009,15:32,Military,,Cessna 208B Grand Caravan,YV-1181,208B-0695,11,1,190
04/29/2009,06:00,Passenger,,Boeing B-737-200,TL-ADM ,22264/753,7,7,5
05/03/2009,12:00,Military,,Mi-35,EV08114,,18,18,257
05/20/2009,06:30,Military,,Lockheed C-130 Hercules,A-1325,1982,112,98,350
05/26/2009,,Passenger,,Antonov An-26,9Q-CSA,5005,4,4,31
06/01/2009,00:15,Passenger,447,Airbus A330-203,F-GZCP,660,228,228,295
06/07/2009,08:30,Military,,Britten-Norman BN-2A-27 Islander,C-FJJR ,424,1,1,184
06/08/2009,,Military,,Antonov An-32,,,13,13,203
